Time,Disk_Usage,,Reference_Time
1631995128,306,,1437
1631995129,306,,1438
1631995131,0,,1440
1631995133,0,,1442
1631995134,306,,1443
1631995136,306,,1445
1631995138,306,,1447
1631995139,0,,1448
1631995141,0,,1450
1631995142,306,,1451
1631995144,305,,1453
1631995146,0,,1455
1631995147,0,,1456
1631995149,0,,1458
1631995151,305,,1460
1631995152,305,,1461
1631995154,0,,1463
1631995155,0,,1464
1631995157,306,,1466
1631995159,303,,1468
1631995160,303,,1469
1631995162,0,,1471
1631995164,0,,1473
1631995165,306,,1474
1631995167,306,,1476
1631995168,0,,1477
1631995170,0,,1479
1631995172,0,,1481
1631995173,306,,1482
1631995175,306,,1484
1631995176,0,,1485
1631995178,0,,1487
1631995180,306,,1489
1631995181,306,,1490
1631995183,306,,1492
1631995185,0,,1494
1631995186,0,,1495
1631995188,306,,1497
1631995190,306,,1499
1631995191,306,,1500
1631995193,0,,1502
1631995194,0,,1503
1631995196,306,,1505
1631995198,306,,1507
1631995199,0,,1508
1631995201,0,,1510
1631995202,0,,1511
1631995204,305,,1513
1631995206,305,,1515
1631995207,0,,1516
1631995209,0,,1518
1631995211,305,,1520
1631995212,305,,1521
1631995214,305,,1523
1631995215,0,,1524
1631995217,0,,1526
1631995219,306,,1528
1631995220,306,,1529
1631995222,0,,1531
1631995224,0,,1533
1631995225,0,,1534
1631995227,306,,1536
1631995228,306,,1537
1631995230,0,,1539
1631995232,0,,1541
1631995233,0,,1542
1631995235,305,,1544
1631995237,305,,1546
1631995238,0,,1547
1631995240,0,,1549
1631995241,306,,1550
1631995243,306,,1552
1631995245,305,,1554
1631995246,0,,1555
1631995248,0,,1557
1631995250,305,,1559
1631995251,305,,1560
1631995253,0,,1562
1631995254,0,,1563
1631995256,0,,1565
1631995258,305,,1567
1631995259,305,,1568
1631995261,0,,1570
1631995263,0,,1572
1631995264,305,,1573
1631995266,305,,1575
1631995267,305,,1576
1631995269,0,,1578
1631995271,0,,1580
1631995272,305,,1581
1631995274,306,,1583
1631995275,0,,1584
1631995277,0,,1586
1631995279,0,,1588
1631995280,306,,1589
1631995282,306,,1591
1631995284,0,,1593
1631995285,0,,1594
1631995287,0,,1596
1631995289,305,,1598
1631995290,306,,1599
1631995292,0,,1601
1631995293,0,,1602
1631995295,0,,1604
1631995297,306,,1606
1631995298,306,,1607
1631995300,0,,1609
1631995302,0,,1611
1631995303,306,,1612
1631995305,306,,1614
1631995306,0,,1615
1631995308,0,,1617
1631995310,0,,1619
1631995311,306,,1620
1631995313,306,,1622
1631995314,0,,1623
1631995316,0,,1625
1631995318,0,,1627
1631995319,306,,1628
1631995321,306,,1630
1631995323,0,,1632
1631995324,0,,1633
1631995326,305,,1635
1631995328,305,,1637
1631995329,305,,1638
1631995331,0,,1640
1631995332,0,,1641
1631995334,306,,1643
1631995336,306,,1645
1631995337,306,,1646
1631995339,0,,1648
1631995341,0,,1650
1631995342,305,,1651
1631995344,305,,1653
1631995345,0,,1654
1631995347,0,,1656
1631995349,0,,1658
1631995350,306,,1659
1631995352,306,,1661
1631995354,0,,1663
1631995355,0,,1664
1631995357,305,,1666
1631995358,305,,1667
1631995360,306,,1669
1631995362,0,,1671
1631995363,0,,1672
1631995365,306,,1674
1631995367,306,,1676
1631995368,306,,1677
1631995370,0,,1679
1631995371,0,,1680
1631995373,306,,1682
1631995375,306,,1684
1631995376,0,,1685
1631995378,0,,1687
1631995380,0,,1689
1631995381,306,,1690
1631995383,306,,1692
1631995384,0,,1693
1631995386,0,,1695
1631995388,306,,1697
1631995389,305,,1698
1631995391,305,,1700
1631995393,0,,1702
1631995394,0,,1703
1631995396,306,,1705
1631995397,306,,1706
1631995399,306,,1708
1631995401,0,,1710
1631995402,0,,1711
1631995404,305,,1713
1631995406,305,,1715
1631995407,0,,1716
1631995409,0,,1718
1631995410,0,,1719
1631995412,306,,1721
1631995414,306,,1723
1631995415,0,,1724
1631995417,0,,1726
1631995418,306,,1727
1631995420,304,,1729
1631995422,0,,1731
1631995423,0,,1732
1631995425,0,,1734
1631995427,305,,1736
1631995428,305,,1737
1631995430,0,,1739
1631995431,0,,1740
1631995433,0,,1742
1631995435,306,,1744
1631995436,306,,1745
1631995438,0,,1747
1631995439,0,,1748
1631995441,306,,1750
1631995443,306,,1752
1631995444,0,,1753
1631995446,0,,1755
1631995448,0,,1757
1631995449,306,,1758
1631995451,306,,1760
1631995452,0,,1761
1631995454,0,,1763
1631995456,0,,1765
1631995457,306,,1766
1631995459,306,,1768
1631995461,0,,1770
1631995462,0,,1771
1631995464,306,,1773
1631995465,305,,1774
1631995467,305,,1776
1631995469,0,,1778
1631995470,0,,1779
1631995472,306,,1781
1631995474,305,,1783
1631995475,0,,1784
1631995477,0,,1786
1631995478,0,,1787
1631995480,306,,1789
1631995482,306,,1791
1631995483,0,,1792
1631995485,0,,1794
1631995486,306,,1795
1631995488,306,,1797
1631995490,306,,1799
1631995491,0,,1800
1631995493,0,,1802
1631995495,306,,1804
1631995496,306,,1805
1631995498,306,,1807
1631995500,0,,1809
1631995501,0,,1810
1631995503,306,,1812
1631995504,306,,1813
1631995506,0,,1815
1631995508,0,,1817
1631995509,0,,1818
1631995511,306,,1820
1631995513,306,,1822
1631995514,0,,1823
1631995516,0,,1825
1631995517,306,,1826
1631995519,306,,1828
1631995521,306,,1830
1631995522,0,,1831
1631995524,0,,1833
1631995526,305,,1835
1631995527,305,,1836
1631995529,305,,1838
1631995530,0,,1839
1631995532,0,,1841
1631995534,305,,1843
1631995535,306,,1844
1631995537,306,,1846
1631995539,0,,1848
1631995540,0,,1849
1631995542,306,,1851
1631995543,306,,1852
1631995545,0,,1854
1631995547,0,,1856
1631995548,0,,1857
1631995550,305,,1859
1631995552,305,,1861
1631995553,0,,1862
1631995555,0,,1864
1631995557,0,,1866
1631995558,304,,1867
1631995560,305,,1869
1631995561,0,,1870
1631995563,0,,1872
1631995565,304,,1874
1631995566,304,,1875
1631995568,304,,1877
1631995570,0,,1879
1631995571,0,,1880
1631995573,305,,1882
1631995574,302,,1883
1631995576,0,,1885
1631995578,0,,1887
1631995579,0,,1888
1631995581,305,,1890
1631995583,305,,1892
1631995584,0,,1893
1631995586,0,,1895
1631995587,0,,1896
1631995589,305,,1898
1631995591,305,,1900
1631995592,0,,1901
1631995594,0,,1903
1631995596,0,,1905
1631995597,306,,1906
1631995599,306,,1908
1631995601,0,,1910
1631995602,0,,1911
1631995604,306,,1913
1631995605,305,,1914
1631995607,305,,1916
1631995609,0,,1918
1631995610,0,,1919
1631995612,306,,1921
1631995614,306,,1923
1631995615,0,,1924
1631995617,0,,1926
1631995618,0,,1927
1631995620,304,,1929
1631995622,304,,1931
1631995623,0,,1932
1631995625,0,,1934
1631995627,0,,1936
1631995628,305,,1937
1631995630,305,,1939
1631995631,0,,1940
1631995633,0,,1942
1631995635,306,,1944
1631995636,306,,1945
1631995638,306,,1947
1631995640,0,,1949
1631995641,0,,1950
1631995643,306,,1952
1631995644,306,,1953
1631995646,0,,1955
1631995648,0,,1957
1631995649,0,,1958
1631995651,306,,1960
1631995653,306,,1962
1631995654,0,,1963
1631995656,0,,1965
