Time,Disk_Usage,,Reference_Time
1631983632,303,,1181
1631983634,303,,1183
1631983636,303,,1185
1631983637,0,,1186
1631983639,304,,1188
1631983641,304,,1190
1631983642,304,,1191
1631983644,304,,1193
1631983646,0,,1195
1631983647,304,,1196
1631983649,304,,1198
1631983651,304,,1200
1631983652,303,,1201
1631983654,303,,1203
1631983656,303,,1205
1631983657,0,,1206
1631983659,303,,1208
1631983661,304,,1210
1631983662,304,,1211
1631983664,304,,1213
1631983666,0,,1215
1631983668,303,,1217
1631983669,303,,1218
1631983671,303,,1220
1631983673,303,,1222
1631983674,0,,1223
1631983676,304,,1225
1631983678,304,,1227
1631983679,304,,1228
1631983681,304,,1230
1631983683,304,,1232
1631983684,304,,1233
1631983686,0,,1235
1631983688,304,,1237
1631983689,304,,1238
1631983691,304,,1240
1631983693,304,,1242
1631983694,0,,1243
1631983696,304,,1245
1631983698,304,,1247
1631983699,304,,1248
1631983701,304,,1250
1631983703,304,,1252
1631983704,304,,1253
1631983706,304,,1255
1631983708,304,,1257
1631983710,304,,1259
1631983711,304,,1260
1631983713,304,,1262
1631983715,0,,1264
1631983716,304,,1265
1631983718,304,,1267
1631983720,304,,1269
1631983721,304,,1270
1631983723,0,,1272
1631983725,304,,1274
1631983726,304,,1275
1631983728,304,,1277
1631983730,304,,1279
1631983732,0,,1281
1631983733,304,,1282
1631983735,304,,1284
1631983737,304,,1286
1631983738,304,,1287
1631983740,304,,1289
1631983742,304,,1291
1631983743,304,,1292
1631983745,0,,1294
1631983747,303,,1296
1631983749,303,,1298
1631983750,303,,1299
1631983752,304,,1301
1631983754,0,,1303
1631983755,304,,1304
1631983757,304,,1306
1631983759,304,,1308
1631983761,304,,1310
1631983762,0,,1311
1631983764,304,,1313
1631983766,304,,1315
1631983767,304,,1316
1631983769,304,,1318
1631983771,0,,1320
1631983772,304,,1321
1631983774,304,,1323
1631983776,304,,1325
1631983777,304,,1326
1631983779,304,,1328
1631983781,304,,1330
1631983782,304,,1331
1631983784,304,,1333
1631983786,304,,1335
1631983788,304,,1337
1631983789,304,,1338
1631983791,304,,1340
1631983793,304,,1342
1631983794,304,,1343
1631983796,304,,1345
1631983798,303,,1347
1631983799,0,,1348
1631983801,303,,1350
1631983803,303,,1352
1631983804,303,,1353
1631983806,304,,1355
1631983808,0,,1357
1631983809,304,,1358
1631983811,304,,1360
1631983813,304,,1362
1631983814,304,,1363
1631983816,304,,1365
1631983818,304,,1367
1631983819,304,,1368
1631983821,304,,1370
1631983823,304,,1372
1631983824,304,,1373
1631983826,304,,1375
1631983828,0,,1377
1631983829,304,,1378
1631983831,304,,1380
1631983833,304,,1382
1631983834,304,,1383
1631983836,304,,1385
1631983838,304,,1387
1631983840,304,,1389
1631983841,304,,1390
1631983843,304,,1392
1631983845,304,,1394
1631983846,304,,1395
1631983848,0,,1397
1631983850,304,,1399
1631983851,303,,1400
1631983853,303,,1402
1631983855,303,,1404
1631983856,0,,1405
1631983858,304,,1407
1631983860,304,,1409
1631983861,304,,1410
1631983863,303,,1412
1631983865,0,,1414
1631983866,302,,1415
1631983868,302,,1417
1631983870,302,,1419
1631983872,304,,1421
1631983873,0,,1422
1631983875,304,,1424
1631983877,304,,1426
1631983878,304,,1427
1631983880,304,,1429
1631983882,304,,1431
1631983883,304,,1432
1631983885,0,,1434
