Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_time
1629344447,6.10327E+12,2511880192,77760,,17213
1629344448,6.10476E+12,2483499008,77764,,17214
1629344450,6.10482E+12,2483814400,77764,,17216
1629344452,6.10488E+12,2483683328,77768,,17218
1629344453,6.10495E+12,2483728384,77768,,17219
1629344455,6.105E+12,2483707904,77772,,17221
1629344456,6.10505E+12,2483585024,77772,,17222
1629344457,6.106E+12,2552467456,77776,,17223
1629344459,6.10695E+12,2483707904,77776,,17225
1629344461,6.10702E+12,2483470336,77780,,17227
1629344462,6.10707E+12,2483535872,77784,,17228
1629344463,6.10714E+12,2483589120,77784,,17229
1629344465,6.1072E+12,2483712000,77788,,17231
1629344466,6.10725E+12,2483666944,77788,,17232
1629344468,6.1091E+12,2483589120,77788,,17234
1629344469,6.10915E+12,2483765248,77792,,17235
1629344471,6.11095E+12,2571751424,77792,,17237
1629344472,6.11108E+12,2483953664,77796,,17238
1629344474,6.11114E+12,2483806208,77800,,17240
1629344475,6.1112E+12,2483605504,77800,,17241
1629344476,6.11126E+12,2483687424,77804,,17242
1629344477,6.11228E+12,2553815040,77804,,17243
1629344479,6.11313E+12,2483609600,77808,,17245
1629344480,6.11319E+12,2483478528,77808,,17246
1629344481,6.11325E+12,2483527680,77812,,17247
1629344483,6.11332E+12,2483609600,77812,,17249
1629344484,6.11339E+12,2483818496,77816,,17250
1629344486,6.11345E+12,2483712000,77820,,17252
1629344487,6.1136E+12,2487431168,77820,,17253
1629344488,6.11546E+12,2483941376,77824,,17254
1629344490,6.11554E+12,2483732480,77824,,17256
1629344491,6.1156E+12,2483826688,77828,,17257
1629344493,6.11566E+12,2483732480,77832,,17259
1629344494,6.11573E+12,2483748864,77832,,17260
1629344495,6.11579E+12,2483892224,77836,,17261
1629344497,6.11585E+12,2483769344,77836,,17263
1629344498,6.1177E+12,2483732480,77840,,17264
1629344500,6.11835E+12,2524889088,77844,,17266
1629344501,6.11962E+12,2483437568,77844,,17267
1629344503,6.11968E+12,2483679232,77848,,17269
1629344504,6.11974E+12,2483978240,77852,,17270
1629344506,6.1198E+12,2483707904,77852,,17272
1629344507,6.12015E+12,2505035776,77856,,17273
1629344508,6.12177E+12,2483916800,77860,,17274
1629344509,6.12182E+12,2484002816,77860,,17275
1629344511,6.12188E+12,2483720192,77864,,17277
1629344512,6.12194E+12,2483769344,77864,,17278
1629344514,6.122E+12,2483851264,77868,,17280
1629344515,6.12206E+12,2483953664,77872,,17281
1629344516,6.12211E+12,2484088832,77872,,17282
1629344518,6.12392E+12,2483871744,77876,,17284
1629344519,6.12398E+12,2483892224,77880,,17285
1629344520,6.12405E+12,2483773440,77880,,17286
1629344522,6.1241E+12,2483970048,77884,,17288
1629344523,6.12415E+12,2484117504,77884,,17289
1629344524,6.1242E+12,2483765248,77888,,17290
1629344525,6.12425E+12,2483863552,77888,,17291
1629344527,6.1246E+12,2507120640,77892,,17293
1629344528,6.12617E+12,2483761152,77896,,17294
1629344530,6.12656E+12,2506874880,77896,,17296
1629344531,6.12819E+12,2483765248,77900,,17297
1629344532,6.12826E+12,2483982336,77900,,17298
1629344534,6.12833E+12,2484076544,77904,,17300
1629344535,6.12839E+12,2483949568,77908,,17301
1629344536,6.12845E+12,2483765248,77908,,17302
1629344538,6.12989E+12,2559062016,77912,,17304
1629344539,6.1304E+12,2483867648,77912,,17305
1629344540,6.13046E+12,2483802112,77916,,17306
1629344542,6.13052E+12,2483810304,77916,,17308
1629344543,6.13058E+12,2483871744,77920,,17309
1629344544,6.13063E+12,2483826688,77924,,17310
1629344546,6.13069E+12,2483884032,77924,,17312
1629344547,6.13099E+12,2504830976,77928,,17313
1629344548,6.1326E+12,2484084736,77928,,17314
1629344550,6.13266E+12,2483912704,77932,,17316
1629344551,6.13272E+12,2483691520,77932,,17317
1629344552,6.13279E+12,2483875840,77936,,17318
1629344554,6.13285E+12,2483761152,77940,,17320
1629344555,6.13291E+12,2483884032,77940,,17321
1629344556,6.13297E+12,2483929088,77944,,17322
1629344557,6.13373E+12,2534887424,77944,,17323
1629344559,6.1349E+12,2483638272,77948,,17325
1629344560,6.13545E+12,2517667840,77952,,17326
1629344561,6.13681E+12,2484068352,77956,,17327
1629344562,6.13687E+12,2484011008,77956,,17328
1629344564,6.13694E+12,2484092928,77960,,17330
1629344565,6.13701E+12,2483884032,77964,,17331
1629344566,6.13708E+12,2484060160,77968,,17332
1629344568,6.1385E+12,2559561728,77968,,17334
1629344569,6.13898E+12,2484056064,77972,,17335
1629344570,6.13906E+12,2483924992,77976,,17336
1629344571,6.13913E+12,2483970048,77980,,17337
1629344573,6.1392E+12,2483957760,77984,,17339
1629344574,6.13928E+12,2484068352,77984,,17340
1629344575,6.13934E+12,2483965952,77988,,17341
1629344577,6.1395E+12,2487529472,77992,,17343
1629344578,6.14133E+12,2483838976,77996,,17344
1629344579,6.1414E+12,2483896320,77996,,17345
1629344581,6.14146E+12,2483974144,78000,,17347
1629344582,6.14153E+12,2483777536,78004,,17348
1629344583,6.14159E+12,2483798016,78008,,17349
1629344585,6.14167E+12,2483781632,78008,,17351
1629344586,6.14174E+12,2483793920,78012,,17352
1629344587,6.1427E+12,2552655872,78016,,17353
1629344589,6.14366E+12,2483937280,78016,,17355
1629344590,6.14408E+12,2508861440,78020,,17356
1629344591,6.14557E+12,2484039680,78024,,17357
1629344593,6.14564E+12,2483965952,78028,,17359
1629344594,6.1457E+12,2483924992,78028,,17360
1629344595,6.14577E+12,2484047872,78032,,17361
1629344596,6.14583E+12,2484006912,78036,,17362
1629344598,6.14761E+12,2571849728,78040,,17364
1629344599,6.14779E+12,2484199424,78040,,17365
1629344600,6.14785E+12,2483974144,78044,,17366
1629344602,6.14791E+12,2483994624,78048,,17368
1629344603,6.14798E+12,2484162560,78052,,17369
1629344605,6.14804E+12,2483945472,78052,,17371
1629344606,6.14811E+12,2483961856,78056,,17372
1629344607,6.14916E+12,2553319424,78060,,17373
1629344609,6.15002E+12,2484232192,78064,,17375
1629344610,6.15008E+12,2484125696,78064,,17376
1629344611,6.15014E+12,2484015104,78068,,17377
1629344613,6.1502E+12,2484158464,78072,,17379
1629344614,6.15026E+12,2484027392,78076,,17380
1629344615,6.15033E+12,2484039680,78076,,17381
1629344616,6.1504E+12,2483978240,78080,,17382
1629344617,6.15184E+12,2560581632,78084,,17383
1629344619,6.15235E+12,2484068352,78088,,17385
1629344620,6.15351E+12,2555166720,78092,,17386
1629344622,6.1543E+12,2484125696,78092,,17388
1629344623,6.15436E+12,2484023296,78096,,17389
1629344624,6.15443E+12,2484006912,78100,,17390
1629344625,6.1545E+12,2484027392,78104,,17391
1629344627,6.15457E+12,2484187136,78104,,17393
1629344628,6.15644E+12,2484469760,78108,,17394
1629344629,6.15651E+12,2484330496,78112,,17395
1629344630,6.15658E+12,2484166656,78112,,17396
1629344632,6.15673E+12,2484940800,78824,,17398
1629344633,6.15681E+12,2485092352,78828,,17399
1629344634,6.15689E+12,2485149696,78828,,17400
1629344636,6.15696E+12,2484965376,78832,,17402
1629344637,6.15725E+12,2501439488,78836,,17403
1629344638,6.15891E+12,2484801536,78840,,17404
1629344639,6.15897E+12,2484965376,78840,,17405
1629344641,6.15904E+12,2485305344,78844,,17407
1629344642,6.15912E+12,2484858880,78848,,17408
1629344643,6.15918E+12,2484981760,78852,,17409
1629344645,6.15925E+12,2484973568,78852,,17411
