current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
6184,2056,1,4128
6184,2052,1,4132
6184,2048,1,4136
6184,2044,1,4140
6184,2040,1,4144
6184,2036,1,4148
6184,2032,1,4152
6184,2028,1,4156
6184,2024,1,4160
6184,2020,1,4164
6184,2016,1,4168
6184,2012,1,4172
6184,2008,1,4176
6184,2004,1,4180
6184,2000,1,4184
6184,1992,1,4192
6184,1988,1,4196
6184,1984,1,4200
6184,1980,1,4204
6184,1976,1,4208
6184,1972,1,4212
6184,1968,1,4216
6184,1964,1,4220
6184,1960,1,4224
6184,1956,1,4228
6184,1952,1,4232
6184,1948,1,4236
6184,1944,1,4240
6184,1940,1,4244
6184,1936,1,4248
6184,1932,1,4252
6184,1928,1,4256
6184,1924,1,4260
6184,1920,1,4264
6184,1916,1,4268
6184,1912,1,4272
6184,1904,1,4280
6184,1900,1,4284
6184,1896,1,4288
6184,1892,1,4292
6184,1888,1,4296
6184,1884,1,4300
6184,1880,1,4304
6184,1876,1,4308
6184,1872,1,4312
6184,1868,1,4316
6184,1864,1,4320
6184,1860,1,4324
6184,1856,1,4328
6184,1852,1,4332
6184,1848,1,4336
6184,1844,1,4340
6184,1836,1,4348
6184,1832,1,4352
6184,1828,1,4356
6184,1824,1,4360
6184,1820,1,4364
6184,1816,1,4368
6184,1812,1,4372
6184,1808,1,4376
6184,1804,1,4380
6184,1800,1,4384
6184,1796,1,4388
6184,1792,1,4392
6184,1788,1,4396
6184,1784,1,4400
6184,1780,1,4404
6184,1776,1,4408
6184,1772,1,4412
6184,1768,1,4416
6184,1764,1,4420
6184,1760,1,4424
6184,1756,1,4428
6184,1752,1,4432
6184,1748,1,4436
6184,1740,1,4444
6184,1736,1,4448
6184,1732,1,4452
6184,1728,1,4456
6184,1724,1,4460
6184,1720,1,4464
6184,1716,1,4468
6184,1712,1,4472
6184,1708,1,4476
6184,1704,1,4480
6184,1700,1,4484
6184,1696,1,4488
6184,1692,1,4492
6184,1688,1,4496
6184,1684,1,4500
6184,1680,1,4504
6184,1676,1,4508
6184,1672,1,4512
6184,1668,1,4516
6184,1664,1,4520
6184,1660,1,4524
6184,1656,1,4528
6184,1652,1,4532
6184,1648,1,4536
6184,1644,1,4540
6184,1636,1,4548
6184,1632,1,4552
6184,1628,1,4556
6184,1624,1,4560
6184,1620,1,4564
6184,1616,1,4568
6184,1612,1,4572
6184,1608,1,4576
6184,1604,1,4580
6184,1600,1,4584
6184,1596,1,4588
6184,1592,1,4592
6184,1588,1,4596
6184,1584,1,4600
6184,1580,1,4604
6184,1572,1,4612
6184,1568,1,4616
6184,1564,1,4620
6184,1560,1,4624
6184,1556,1,4628
6184,1552,1,4632
6184,1548,1,4636
6184,1544,1,4640
6184,1540,1,4644
6184,1536,1,4648
6184,1532,1,4652
6184,1528,1,4656
6184,1524,1,4660
6184,1520,1,4664
6184,1516,1,4668
6184,1512,1,4672
6184,1508,1,4676
6184,1504,1,4680
6184,1496,1,4688
6184,1492,1,4692
6184,1488,1,4696
6184,1484,1,4700
6184,1480,1,4704
6184,1476,1,4708
6184,1472,1,4712
6184,1468,1,4716
6184,1464,1,4720
6184,1460,1,4724
6184,1456,1,4728
6184,1452,1,4732
6184,1448,1,4736
6184,1444,1,4740
6184,1440,1,4744
6184,1432,1,4752
6184,1428,1,4756
6184,1424,1,4760
6184,1420,1,4764
6184,1416,1,4768
6184,1412,1,4772
6184,1408,1,4776
6184,1404,1,4780
6184,1400,1,4784
6184,1396,1,4788
6184,1392,1,4792
6184,1388,1,4796
6184,1384,1,4800
6184,1380,1,4804
6184,1372,1,4812
6184,1368,1,4816
6184,1364,1,4820
6184,1360,1,4824
6184,1356,1,4828
6184,1352,1,4832
6184,1348,1,4836
6184,1344,1,4840
6184,1340,1,4844
6184,1336,1,4848
6184,1332,1,4852
6184,1328,1,4856
6184,1324,1,4860
6184,1320,1,4864
6184,1316,1,4868
6184,1312,1,4872
6184,1308,1,4876
6184,1304,1,4880
6184,1300,1,4884
6184,1296,1,4888
6184,1292,1,4892
6184,1288,1,4896
6184,1284,1,4900
6184,1280,1,4904
6184,1276,1,4908
6184,1272,1,4912
6184,1268,1,4916
6184,1264,1,4920
6184,1260,1,4924
6184,1256,1,4928
6184,1256,1,4928
6184,1252,1,4932
6184,1248,1,4936
6184,1244,1,4940
6184,1240,1,4944
