Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629682787,6.37828E+11,469184512,243796,,6035
1629682788,6.37885E+11,469000192,243804,,6036
1629682789,6.3793E+11,469135360,243808,,6037
1629682791,6.37973E+11,469200896,243812,,6039
1629682792,6.38011E+11,469176320,243816,,6040
1629682793,6.38069E+11,469250048,243824,,6041
1629682794,6.38115E+11,469254144,243828,,6042
1629682795,6.38163E+11,469245952,243832,,6043
1629682797,6.38208E+11,469245952,243840,,6045
1629682798,6.38265E+11,469348352,243844,,6046
1629682799,6.38308E+11,469311488,243848,,6047
1629682800,6.38353E+11,469155840,243856,,6048
1629682801,6.38399E+11,469295104,243860,,6049
1629682803,6.38463E+11,468946944,243868,,6051
1629682804,6.38506E+11,469196800,243872,,6052
1629682805,6.38553E+11,469135360,243876,,6053
1629682806,6.38596E+11,469082112,243884,,6054
1629682807,6.38636E+11,469024768,243888,,6055
1629682809,6.38697E+11,469139456,243892,,6057
1629682810,6.38739E+11,469159936,243896,,6058
1629682811,6.38779E+11,469061632,243904,,6059
1629682812,6.38825E+11,469106688,243908,,6060
1629682813,6.3888E+11,469254144,243912,,6061
1629682815,6.38922E+11,469229568,243920,,6063
1629682816,6.38963E+11,469323776,243924,,6064
1629682817,6.39004E+11,469389312,243928,,6065
1629682818,6.39064E+11,469258240,243932,,6066
1629682819,6.39107E+11,469417984,243940,,6067
1629682821,6.3915E+11,469274624,243944,,6069
1629682822,6.39196E+11,469434368,243948,,6070
1629682823,6.39255E+11,469364736,243956,,6071
1629682824,6.39297E+11,469381120,243960,,6072
1629682825,6.39335E+11,469340160,243964,,6073
1629682827,6.39377E+11,469532672,243968,,6075
1629682828,6.39432E+11,469413888,243972,,6076
1629682829,6.39471E+11,469385216,243976,,6077
1629682830,6.39512E+11,469266432,243984,,6078
1629682831,6.39553E+11,469307392,243988,,6079
1629682833,6.39605E+11,469352448,243992,,6081
1629682834,6.39649E+11,469229568,243996,,6082
1629682835,6.39692E+11,469458944,244004,,6083
1629682836,6.39733E+11,469364736,244008,,6084
1629682837,6.39777E+11,469340160,244012,,6085
1629682839,6.39833E+11,469467136,244016,,6087
1629682840,6.39881E+11,469278720,244020,,6088
1629682841,6.39926E+11,469336064,244028,,6089
1629682842,6.39972E+11,469311488,244032,,6090
1629682843,6.40034E+11,469196800,244036,,6091
1629682845,6.40076E+11,469250048,244040,,6093
1629682846,6.40118E+11,469262336,244044,,6094
1629682847,6.40157E+11,469512192,244052,,6095
1629682848,6.40211E+11,469397504,244056,,6096
1629682850,6.40252E+11,469483520,244060,,6098
1629682851,6.40287E+11,469401600,244064,,6099
1629682852,6.40324E+11,469368832,244068,,6100
1629682853,6.40384E+11,469323776,244072,,6101
1629682854,6.40424E+11,469217280,244080,,6102
1629682856,6.40472E+11,469368832,244084,,6104
1629682857,6.40517E+11,469463040,244088,,6105
1629682858,6.40577E+11,469622784,244092,,6106
1629682859,6.40619E+11,469340160,244100,,6107
1629682860,6.40658E+11,469479424,244104,,6108
1629682862,6.40698E+11,469549056,244108,,6110
1629682863,6.40755E+11,469463040,244112,,6111
1629682864,6.40803E+11,469483520,244116,,6112
1629682865,6.40843E+11,469458944,244120,,6113
1629682866,6.40888E+11,469516288,244124,,6114
1629682868,6.40947E+11,469389312,244128,,6116
1629682869,6.40987E+11,469573632,244132,,6117
1629682870,6.41035E+11,469368832,244136,,6118
1629682871,6.41077E+11,469676032,244140,,6119
1629682873,6.4114E+11,469524480,244144,,6121
1629682874,6.41181E+11,469655552,244152,,6122
1629682875,6.41216E+11,469409792,244156,,6123
1629682876,6.4126E+11,469446656,244160,,6124
1629682878,6.41301E+11,469725184,244164,,6126
1629682879,6.41357E+11,469708800,244172,,6127
1629682880,6.41398E+11,469561344,244176,,6128
1629682881,6.41443E+11,469684224,244180,,6129
1629682882,6.41485E+11,469655552,244188,,6130
1629682883,6.41537E+11,469700608,244192,,6131
1629682885,6.4158E+11,469778432,244196,,6133
1629682886,6.41615E+11,469667840,244200,,6134
1629682887,6.41654E+11,469676032,244204,,6135
1629682889,6.41712E+11,469643264,244208,,6137
1629682890,6.41757E+11,469811200,244212,,6138
1629682891,6.41799E+11,469684224,244220,,6139
1629682892,6.41835E+11,469901312,244224,,6140
1629682893,6.41896E+11,469594112,244228,,6141
1629682895,6.41944E+11,469667840,244232,,6143
1629682896,6.41986E+11,469786624,244236,,6144
1629682897,6.42032E+11,469782528,244240,,6145
1629682898,6.42092E+11,469635072,244248,,6146
1629682899,6.42139E+11,469549056,244252,,6147
1629682901,6.42186E+11,469721088,244256,,6149
1629682902,6.42232E+11,469778432,244260,,6150
1629682903,6.42289E+11,469577728,244268,,6151
1629682904,6.42332E+11,469651456,244272,,6152
1629682905,6.42374E+11,469643264,244276,,6153
1629682907,6.42419E+11,469852160,244280,,6155
1629682908,6.42475E+11,469753856,244284,,6156
1629682909,6.42514E+11,469692416,244288,,6157
1629682910,6.42558E+11,469827584,244292,,6158
