Time,Disk_Usage,,Ref_Time
1632078023,95673,,1025
1632078025,95865,,1027
1632078026,95862,,1028
1632078028,96067,,1030
1632078030,96483,,1032
1632078031,96484,,1033
1632078033,96690,,1035
1632078035,96686,,1037
1632078036,96894,,1038
1632078038,97103,,1040
1632078039,97315,,1041
1632078041,97315,,1043
1632078043,97528,,1045
1632078044,97531,,1046
1632078046,97950,,1048
1632078048,98160,,1050
1632078049,98163,,1051
1632078051,98367,,1053
1632078053,98367,,1055
1632078054,98576,,1056
1632078056,98786,,1058
1632078057,98996,,1059
1632078059,98996,,1061
1632078061,99207,,1063
1632078062,99207,,1064
1632078064,99629,,1066
1632078066,99629,,1068
1632078067,99837,,1069
1632078069,100046,,1071
1632078070,100047,,1072
1632078072,100257,,1074
1632078074,100466,,1076
1632078075,100675,,1077
1632078077,100676,,1079
1632078079,100889,,1081
1632078080,100891,,1082
1632078082,101309,,1084
1632078084,101520,,1086
1632078085,101519,,1087
1632078087,101726,,1089
1632078089,101723,,1091
1632078090,101933,,1092
1632078092,102143,,1094
1632078093,102352,,1095
1632078095,102354,,1097
1632078097,102564,,1099
1632078098,102563,,1100
1632078100,102982,,1102
1632078102,103188,,1104
1632078103,103186,,1105
1632078105,103388,,1107
1632078106,103386,,1108
1632078108,103592,,1110
1632078110,103800,,1112
1632078111,104007,,1113
1632078113,104004,,1115
1632078115,104208,,1117
1632078116,104206,,1118
1632078118,104623,,1120
1632078120,104828,,1122
1632078121,104828,,1123
1632078123,105033,,1125
1632078125,105033,,1127
1632078126,105236,,1128
1632078128,105443,,1130
1632078129,105647,,1131
1632078131,105644,,1133
1632078133,105849,,1135
1632078134,106056,,1136
1632078136,106266,,1138
1632078138,106475,,1140
1632078139,106476,,1141
1632078141,106686,,1143
1632078143,106687,,1145
1632078144,107106,,1146
1632078146,107104,,1148
1632078147,107315,,1149
1632078149,107314,,1151
1632078151,107520,,1153
1632078152,107724,,1154
1632078154,107933,,1156
1632078156,108142,,1158
1632078157,108142,,1159
1632078159,108349,,1161
1632078160,108349,,1162
1632078162,108765,,1164
1632078164,108766,,1166
1632078165,108974,,1167
1632078167,108972,,1169
1632078169,109178,,1171
1632078170,109386,,1172
1632078172,109595,,1174
1632078174,109797,,1176
1632078175,109792,,1177
1632078177,110004,,1179
1632078179,110003,,1181
1632078180,110421,,1182
1632078182,110422,,1184
1632078183,110632,,1185
1632078185,110634,,1187
1632078187,110843,,1189
1632078188,111052,,1190
1632078190,111262,,1192
1632078192,111472,,1194
1632078193,111474,,1195
1632078195,111685,,1197
1632078196,111686,,1198
1632078198,112102,,1200
1632078200,112102,,1202
1632078201,112309,,1203
1632078203,112308,,1205
1632078205,112515,,1207
1632078206,112723,,1208
1632078208,112931,,1210
1632078210,113134,,1212
1632078211,113130,,1213
1632078213,113333,,1215
1632078214,113329,,1216
1632078216,113744,,1218
1632078218,113740,,1220
1632078219,113946,,1221
1632078221,113942,,1223
1632078223,114145,,1225
1632078224,114350,,1226
1632078226,114558,,1228
1632078228,114763,,1230
1632078229,114756,,1231
1632078231,114963,,1233
1632078232,114962,,1234
1632078234,115380,,1236
1632078236,115376,,1238
1632078237,115581,,1239
1632078239,115792,,1241
1632078241,115796,,1243
1632078242,116006,,1244
1632078244,116216,,1246
1632078246,116419,,1248
1632078247,116419,,1249
1632078249,116627,,1251
1632078250,116625,,1252
1632078252,117038,,1254
1632078254,117033,,1256
1632078255,117239,,1257
1632078257,117449,,1259
1632078259,117447,,1261
1632078260,117655,,1262
1632078262,117863,,1264
1632078264,118071,,1266
1632078265,118072,,1267
1632078267,118281,,1269
1632078268,118279,,1270
1632078270,118693,,1272
1632078272,118691,,1274
1632078273,118899,,1275
1632078275,118898,,1277
1632078277,119099,,1279
1632078278,119512,,1280
1632078280,119510,,1282
1632078281,119721,,1283
1632078283,119722,,1285
1632078285,119932,,1287
1632078286,120141,,1288
1632078288,120350,,1290
1632078290,120350,,1292
1632078291,120560,,1293
1632078293,120558,,1295
1632078294,120765,,1296
1632078296,120973,,1298
1632078298,121182,,1300
1632078299,121181,,1301
1632078301,121384,,1303
1632078303,121589,,1305
1632078304,121795,,1306
1632078306,122000,,1308
1632078307,121999,,1309
1632078309,122204,,1311
1632078311,122204,,1313
